  	37087	0.0248427
 а	2525	0.00169137
 б	9611	0.00643791
 в	20662	0.0138404
 г	5569	0.00373038
 д	9723	0.00651293
 е	3873	0.00259432
 ж	1986	0.00133032
 з	4733	0.00317039
 и	13547	0.00907443
 й	3	2.00954e-06
 к	10194	0.00682843
 л	3130	0.00209662
 м	8337	0.00558452
 н	22913	0.0153482
 о	12905	0.00864439
 п	21544	0.0144312
 р	6174	0.00413564
 с	20823	0.0139482
 т	12972	0.00868927
 у	4692	0.00314293
 ф	1354	0.000906974
 х	1229	0.000823243
 ц	1017	0.000681235
 ч	6933	0.00464406
 ш	643	0.000430712
 щ	9	6.02863e-06
 э	5386	0.0036078
 ю	97	6.49753e-05
 я	2166	0.00145089
а 	16033	0.0107397
аб	1396	0.000935108
ав	4309	0.00288637
аг	1136	0.000760947
ад	1945	0.00130285
ае	2226	0.00149108
аж	1518	0.00101683
аз	4235	0.00283681
аи	283	0.000189567
ай	535	0.000358369
ак	5677	0.00380273
ал	7489	0.00501649
ам	4330	0.00290044
ан	7627	0.00510893
ао	71	4.75592e-05
ап	711	0.000476262
ар	5637	0.00377593
ас	5267	0.00352809
ат	7041	0.0047164
ау	196	0.00013129
аф	51	3.41622e-05
ах	1038	0.000695302
ац	1521	0.00101884
ач	1535	0.00102822
аш	2152	0.00144151
ащ	421	0.000282006
аэ	4	2.67939e-06
аю	1370	0.000917692
ая	2274	0.00152323
б 	183	0.000122582
ба	683	0.000457506
бб	3	2.00954e-06
бв	32	2.14351e-05
бд	10	6.69848e-06
бе	2926	0.00195998
бж	14	9.37787e-06
бз	1	6.69848e-07
би	605	0.000405258
бк	60	4.01909e-05
бл	1265	0.000847358
бм	62	4.15306e-05
бн	463	0.00031014
бо	5033	0.00337134
бр	1803	0.00120774
бс	765	0.000512434
бу	1818	0.00121778
бх	290	0.000194256
бц	1	6.69848e-07
бш	16	1.07176e-05
бщ	705	0.000472243
бы	5565	0.0037277
бь	321	0.000215021
бю	22	1.47367e-05
бя	458	0.00030679
в 	9919	0.00664422
ва	6502	0.00435535
вб	2	1.3397e-06
вв	68	4.55497e-05
вг	19	1.27271e-05
вд	131	8.77501e-05
ве	7046	0.00471975
вз	344	0.000230428
ви	4237	0.00283815
вк	319	0.000213682
вл	1975	0.00132295
вм	144	9.64581e-05
вн	2065	0.00138324
во	10888	0.0072933
вп	343	0.000229758
вр	2056	0.00137721
вс	4295	0.002877
вт	255	0.000170811
ву	922	0.0006176
вх	22	1.47367e-05
вц	13	8.70802e-06
